"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","438","Попытка изменения данных неавторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","442","Изменение данных авторизованным пользователем: проверка обновленного значения в профиле","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","443","Изменение данных авторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","436","Попытка изменения данных неавторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","1065","Создание уникального пользователя: проверка наличия токена","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","500","Авторизованный пользователь: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","427","Создание дубликата: проверка статус-кода 403","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","426","Изменение данных авторизованным пользователем: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","571","Логин с неверным логином и паролем: проверка статус-кода","tests","2026-08-18","passed","2026-08-18","TestLoginUser","Логин пользователя","",""
"","538","Изменение данных авторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","1021","Авторизованный пользователь: проверка поля success в ответе","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","550","Логин под существующим пользователем: проверка статус-кода","tests","2026-08-18","passed","2026-08-18","TestLoginUser","Логин пользователя","",""
"","498","Изменение данных авторизованным пользователем: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","427","Создание пользователя без обязательного поля","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","1005","Создание уникального пользователя: проверка статус-кода","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","441","Неавторизованный пользователь: проверка статус-кода 401","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","434","Неавторизованный пользователь: проверка полей тела ответа","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","433","Создание заказа без ингредиентов: проверка тела ответа","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","422","Создание пользователя без обязательного поля","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
